URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
http://intranet.corp.oncor.com/sites/AssetManagement/BM/ReliabilityInformation/Documents/Forms/AllItems.aspx?RootFolder=%2fsites%2fAssetManagement%2fBM%2fReliabilityInformation%2fDocuments%2fOutage%20Analysis&FolderCTID=0x012000B23A5819ACFC2E4DA3BAB456CAADB2ED,http://intranet.corp.oncor.com/sites/AssetManagement/BM/ReliabilityInformation/Documents/Forms/AllItems.aspx?RootFolder=%2fsites%2fAssetManagement%2fBM%2fReliabilityInformation%2fDocuments%2fOutage%20Analysis&FolderCTID=0x012000B23A5819ACFC2E4DA3BAB456CAADB2ED,N/A,18,6381,1
http://intranet.corp.oncor.com/sites/SystemOprs/Pages/PDF-Feeder-Map-Master-List.aspx,http://intranet.corp.oncor.com/sites/SystemOprs/Pages/PDF-Feeder-Map-Master-List.aspx,N/A,18,6381,1
http://intranet.corp.oncor.com/sites/SystemOprs/StormProcesses/Pages/default.aspx,http://intranet.corp.oncor.com/sites/SystemOprs/StormProcesses/Pages/default.aspx,N/A,18,6381,1
http://intranet.corp.oncor.com/sites/Transmission/SEEN/Pages/Entry-and-Exit.aspx,http://intranet.corp.oncor.com/sites/Transmission/SEEN/Pages/Entry-and-Exit.aspx,N/A,18,6381,1
http://netdispatcher.corp.oncor.com/NetDispatcher/Account/LogOn?ReturnUrl=%2fnetdispatcher,http://netdispatcher.corp.oncor.com/NetDispatcher/Account/LogOn?ReturnUrl=%2fnetdispatcher,N/A,18,6381,1
http://wv00761.build.corp.oncor.com/dbdoc/,http://wv00761.build.corp.oncor.com/dbdoc/,dbdoc,0,0,0
http://wv00761.build.corp.oncor.com/DMSReports/admin,/admin,/admin,69389,72550,1
http://wv00761.build.corp.oncor.com/DMSReports/admin/About,/admin/About,/admin/About,0,0,0
http://wv00761.build.corp.oncor.com/DMSReports/admin/ContactInfo/,/admin/ContactInfo/,/admin/ContactInfo/,2,0,1
http://wv00761.build.corp.oncor.com/DMSReports/admin/CTA/,/admin/CTA/,/admin/CTA/,0,0,0
http://wv00761.build.corp.oncor.com/DMSReports/admin/ErrorAlerts,/admin/ErrorAlerts,/admin/ErrorAlerts,1,0,1
http://wv00761.build.corp.oncor.com/DMSReports/admin/IFactor/Export/History#/,/admin/IFactor/Export/History#/,/admin/IFactor/Export/History,0,0,0
http://wv00761.build.corp.oncor.com/DMSReports/admin/Inservice/EditEvent,/admin/Inservice/EditEvent,/admin/Inservice/EditEvent,0,0,0
http://wv00761.build.corp.oncor.com/DMSReports/admin/Inservice/ResetDisplay,/admin/Inservice/ResetDisplay,/admin/Inservice/ResetDisplay,0,5,1
http://wv00761.build.corp.oncor.com/DMSReports/admin/IVR,/admin/IVR,/admin/IVR,96,96,1
